Source,Type,Item,Location,Category,Subcategory,Subcategory2,Dimension,Dimension 2,Check Blanks
Monterey COE,Assumptions,"Transmission may also be possible by touching an object with infected droplets on it and transferring it to the mouth, nose or eyes.",Intro,General,General,,,,0
Monterey COE,Assumptions,Transmission of the virus is believed to occur between people who are near each other (within 6-feet) and through the transfer of droplets transferred by coughs and sneezes.,Intro,General,General,,,,0
Marin COE,Assumptions,What are the district’s or charter’s goals for the school year? Are the intended outcomes substantial enough to warrant returning to full operations for a short period of time?,GC1c,General,General,,,,0
Monterey COE,Assumptions,"While this strain of coronavirus is not well understood, the CDC advises that the prevention measures that are effective for limiting transmission of influenza are appropriate for COVID-19.",Intro,General,General,,,,0
CCSESA,Assumptions,"Counties, districts and schools across California will have different timelines and approaches for reopening due to local variations in the virus spread, rate of infection and local needs and resources.",5,General,General,,,,0
Marin COE,Assumptions,Do we have the physical capacity to reopen schools in the time remaining? What are the impacts the prolonged closure has had on our readiness to return? What supplies and equipment must be returned or replaced? What activities must occur first? What staffing issues have occurred while we have been out?,GC1e,General,General,,,,0
Marin COE,Assumptions,"Due to loss of employment, schools may lose student enrollment.",GC14a,General,General,,,,0
Marin COE,Assumptions,"Due to parent cautiousness, parents may choose to keep students at home and continue distance learning even when campuses reopen.",GC14b,General,General,,,,0
Kern COE,Assumptions,"During this time, improvements in understanding of the virus and in testing will allow public health officials to act with greater precision when taking steps to slow the rate of infection. Broad stay-at-home orders and long-term school closures are not likely to be needed in the future.",1,General,General,,,,0
CDC-C4S,Assumptions,Schools may consider implementing several strategies to maintain healthy environments.,MHE,General,General,,,,0
Kern COE,Assumptions,Short-term closures of single or multiple schools will remain a possibility until a vaccine is widely used.,1,General,General,,,,0
Marin COE,Assumptions,The 2020-21 school year will pose unique challenges. COVID-19 will remain an active threat. District leadership teams should work with staff to develop plans to meet those challenges for operating on modified schedules.,GC1g,General,General,,,,0
Kern COE,Assumptions,"The challenges posed by COVID-19, and the duration of this threat, will make it more difficult for school districts to make unified decisions. Differences in resources, negotiations, community concerns, and direction from county public health services in response to local conditions will impact local decision-making.",14,General,General,,,,0
Marin COE,Assumptions,"The high cost of housing in the county, coupled with economic decline may lead to movement out of the county.",6d,General,General,,,,0
Kern COE,Assumptions,The most able and advantaged are likely to be better off. The most disadvantaged are likely to suffer learning regression.,10,General,General,,,,0
Kern COE,Assumptions,The number of children and families experiencing homelessness and eligible for the support and protections required under the McKinney-Vento Act is likely to increase.,7,General,General,,,,0
Kern COE,Assumptions,The strain of a 12 to 18-month duration will overwhelm the coping skills of many.,6,General,General,,,,0
Marin COE,Assumptions,"There will continue to be a broad spectrum of opinions in the community regarding government and school responses (from overreacting to under reacting) to COVID-19. Impacts could include: Non-compliance with measures enacted by the school, Increased contact with school leaders, superintendents, and board members",7,General,General,,,,0
CCSESA,Actions,Districts or counties may choose to use a predetermined Fitness for Duty checklist to determine if an employee is ready to return to work and under what conditions.,3l,Health & Safety / Operations,Potential COVID-19 Case Protocols,,HR / Bargaining Units,,0
CCSESA,Actions,It is critical that employees needing to self-isolate because of COVID-19 are encouraged to stay at home to prevent further infection. Information on government programs supporting employee sick leave and workers compensation is available at https://www.dir.ca.gov/dlse/Comparison-COVID-19-Paid-Leave.html.,3k,Health & Safety / Operations,Potential COVID-19 Case Protocols,,HR / Bargaining Units,,0
Kern COE,Questions,"Screen all students, employees, and visitors for symptoms including fever.|
Who will do the screenings? Where will screenings occur (office, bus stops, classroom)
If a student arrives at school with a fever, where will the student wait until parents pick up?",9,Health & Safety / Operations,Arrival / Dismissal Protocols,,,,0
CDC-C4S,Actions,Stagger arrival and drop-off times or locations by cohort or put in place other protocols to limit contact between cohorts and direct contact with parents as much as possible.,SS1,Health & Safety / Operations,Arrival / Dismissal Protocols,,,,0
Marin COE,Assumptions,Proactively screening students and staff for symptoms;,2a,Health & Safety / Operations,Arrival / Dismissal Protocols,,,,0
San Diego COE,Actions,Create a procedure and criteria for reporting significant changes in attendance trends to the district office and Public Health Services.,11-C,Health & Safety / Operations,Attendance,,,,0
San Diego COE,Actions,Create FAQs and talking points on student attendance and train all staff who make attendance calls. Provide the same information to instructional staff. Implement immediately.,1-B,Health & Safety / Operations,Attendance,,,,0
San Diego COE,Actions,Develop documentation procedures for use in substantiating requests for apportionment.,111-B,Health & Safety / Operations,Attendance,,,,0
San Diego COE,Actions,Discontinue all attendance incentive programs.,1-B,Health & Safety / Operations,Attendance,,,,0
San Diego COE,Actions,Review and revise rules on school attendance to include guidance on staying home when ill and implement immediately.,1-B,Health & Safety / Operations,Attendance,,,,0
CCSESA,Actions,Consider acquiring handwashing stations for distribution across various campus locations (e.g. playground and common areas) to provide easy access without students and staff having to wait in long lines to wash their hands and/or touchless soap dispensers for all sinks to be used for handwashing; touchless trash cans if they are not already in use; and no-contact thermometers.,3e,Health & Safety / Operations,Bathroom Protocols,,,,0
CCSESA,Actions,Considering the assignment of restrooms to specific classes and/or using procedures to indicate when a restroom/stall is clean or if it has been used since the last cleaning (e.g. use of red/green signs to indicate clean or dirty).,3d,Health & Safety / Operations,Bathroom Protocols,,,,0
CCSESA,Actions,Ensure restrooms stay functional and stocked with soap and toilet paper,3f,Health & Safety / Operations,Bathroom Protocols,,,,0
CCSESA,Actions,Implement routines for handwashing/using hand sanitizer at regular intervals.,3f,Health & Safety / Operations,Bathroom Protocols,,,,0
Kern COE,Actions,"Consider altering bell schedules, staggering start times, creating multiple recess and lunch periods, and creating multiple meal distribution points.",8,Health & Safety / Operations,Bell Schedules,,,,0
CCSESA,Actions,"When safe to do so, leave doors open or ajar so that students and staff do not have to touch doorknobs",3f,Health & Safety / Operations,Classroom / Transitions Protocols,,,,0
CDC-C4S,Actions,"Create distance between children on school buses (g., seat children one child per row, skip rows) when possible.",ML3,Health & Safety / Operations,Classroom Layout & Protocols,,,,0
CDC-C4S,Actions,Modified Layouts: Space seating/desks at least 6 feet apart when feasible.,ML1,Health & Safety / Operations,Classroom Layout & Protocols,,,,0
CDC-C4S,Actions,"Shared Objects: Avoid sharing electronic devices, toys, books, and other games or learning aids.",SO4,Health & Safety / Operations,Classroom Layout & Protocols,,,,0
CDC-C4S,Actions,Shared Objects: Discourage sharing of items that are difficult to clean or disinfect.,SO1,Health & Safety / Operations,Classroom Layout & Protocols,,,,0
CDC-C4S,Actions,"Shared Objects: Ensure adequate supplies to minimize sharing of high touch materials to the extent possible (e.g., assigning each student their own art supplies, equipment) or limit use of supplies and equipment by one group of children at a time and clean and disinfect between use.",SO3,Health & Safety / Operations,Classroom Layout & Protocols,,,,0
CDC-C4S,Actions,"Shared Objects: Keep each child’s belongings separated from others’ and in individually labeled containers, cubbies, or areas.",SO2,Health & Safety / Operations,Classroom Layout & Protocols,,,,0
CDC-C4S,Actions,"Turn desks to face in the same direction (rather than facing each other), or have students sit on only one side of tables, spaced apart.",ML2,Health & Safety / Operations,Classroom Layout & Protocols,,,,0
Kern COE,Considerations,Schedule time and structure routines for handwashing at the start of each class period.,12,Health & Safety / Operations,Classroom / Transitions Protocols,,,,0
CDC-C4S,Actions,"Establish procedures for safely transporting anyone who is sick to their home or to a healthcare facility. If you are calling an ambulance or bringing someone to the hospital, try to call first to alert them that the person may have COVID-19.",IaTT4,Health & Safety / Operations,COVID-19 Status,,,,0
CDC-C4S,Actions,"In accordance with state and local laws and regulations, school administrators should notify local health officials, staff, and families immediately of any case of COVID-19 while maintaining confidentiality in accordance with the Americans with Disabilities Act (ADA)",NHOaCC1,Health & Safety / Operations,COVID-19 Status,,,,0
CDC-C4S,Actions,"Inform those who have had close contact with a person diagnosed with COVID-19 to stay home and self-monitor for symptoms, and follow CDC guidance if symptoms develop.",NHOaCC2,Health & Safety / Operations,COVID-19 Status,,,,0
CDC-C4S,Actions,"Work with school administrators, nurses, and other healthcare providers to identify an isolation room or area to separate anyone who has COVID-19 symptoms or tests positive but does not have symptoms. School nurses and other healthcare providers should use Standard and Transmission-Based Precautions when caring for sick people. See: What Healthcare Personnel Should Know About Caring for Patients with Confirmed or Possible COVID-19 Infection.",IaTT3,Health & Safety / Operations,COVID-19 Status,,,,0
Kern COE,Considerations,Monitor absenteeism to identify any trends in employee or child absences due to illness.,9,Health & Safety / Operations,Enrollment / Attendance,,,,0
San Diego COE,Actions,"Review and revise attendance reporting systems to easily retrieve trend data on students who are absent with flu-like symptoms by site and classroom, daily.",11-C,Health & Safety / Operations,Enrollment / Attendance,,,,0
Marin COE,Assumptions,Student and employee attendance rates will fluctuate during the year.,6e,Health & Safety / Operations,Enrollment / Attendance,,,,0
CCSESA,Actions,"Considering screening for illness/infection control for staff and students before they enter the school and/or upon entry onto buses. Although these practices may vary across the state depending upon local infection rates and conditions, local communities will benefit when school districts in the same cities and in neighboring communities implement consistent procedures. County offices can assist in the collaboration to develop these consistent practices.",3d,Health & Safety / Operations,Entry / Exit Protocols,,,,0
CCSESA,Actions,"Schools may use examples of screening methods in the Centers for Disease Control and Prevention’s (CDC) supplemental Guidance for Child Care Programs that Remain Open as a guide for screening children and CDC’s General Business FAQs for screening staff. If screenings will be done, determine how, when and where the checks/screenings will occur, and who will do the checks/screenings. If transportation drivers conduct temperature screenings, ensure emergency communication contact numbers are available to reach parents or guardians.",3d,Health & Safety / Operations,Entry / Exit Protocols,,,,0
San Diego COE,Actions,"Select or create forms to track all expenses (purchases, contracts, leases, labor, etc.). Create reporting/submission procedures and timelines. Assign roles and responsibilities for all levels of the organization. Train staff on the process.",11-D,Health & Safety / Operations,Financial Tracking,,,,0
WHO,Questions,Are children receiving a meal at school? Is there food security at home?,Questions,Health & Safety / Operations,Food Services / Lunch,,,,0
Kern COE,Actions,Develop plans to provide access school meal programs for qualifying students who are impacted,14,Health & Safety / Operations,Food Services / Lunch,,,,0
Marin COE,Assumptions,Provide take-home meals for each eligible student before they leave each day.,GC10op1,Health & Safety / Operations,Food Services / Lunch,,,,0
Marin COE,Assumptions,"Review SB 884: Funding for summer school to make up missed days due to emergencies including fires, floods, poor air quality (due to smoke), PSPS events, pandemic, etc.",GC13a,Health & Safety / Operations,Food Services / Lunch,,,,0
Kern COE,Assumptions,School nutrition programs will be needed by more students and will become a more significant portion of their access to food. Accommodations to provide continued access to meals for children who are ill or required to self-isolate may be necessary until Covid 19 is controlled.,7,Health & Safety / Operations,Food Services / Lunch,,,,0
CCSESA,Actions,"To limit student exposure to many individuals during the day, consider: Delivering meals to classrooms, the specific area in the campus designated for each class, or in kiosks near locations where students will be eating; Having students eat lunch and snacks in the classroom or outside in designated areas for each class so that students do not mix;  Using block schedules or rotating teachers through the classroom rather than having students change classrooms; and Supervise boarding and seating in buses to ensure physical distancing. Board students in the order in which they boarded in the morning.
",3j,Health & Safety / Operations,Food Services / Lunch,,,,0
San Diego COE,Actions,Create a list of locations that can be used for meal distribution.,111-F,Health & Safety / Operations,Food Services / Lunch,,,,0
San Diego COE,Actions,Create a list of meals that can be distributed at neighborhood sites.,111-F,Health & Safety / Operations,Food Services / Lunch,,,,0
San Diego COE,Actions,Determine how meals will be packaged and transferred from employee to recipient. Consider creating “drive-thru” locations as a means of maintaining social distancing.,111-F,Health & Safety / Operations,Food Services / Lunch,,,,0
San Diego COE,Actions,Determine how parents and students will be notified of your plan.,111-F,Health & Safety / Operations,Food Services / Lunch,,Communication,,0
San Diego COE,Actions,Determine if additional training is needed.,1-F,Health & Safety / Operations,Food Services / Lunch,,Professional Development,,0
CCSESA,Assumptions,"With the sharp rise in unemployment as a result of the virus, more students will qualify for school nutrition programs and these programs will provide eligible students with a significant portion of their food each school day. Schools that continue to use distance learning and/or a hybrid approach and schools with students on self-isolation due to their or a family member’s exposure or illness will need to continue to provide students access to meals when they are not on campus.",7,Health & Safety / Operations,Food Services / Lunch,,,,0
San Diego COE,Actions,"No student or employee may be excluded from school, work or any school activities based on race or country of origin.",1-A,Health & Safety / Operations,General,,,,0
Kern COE,Assumptions,"A second wave of infections is expected, possibly coinciding with flu season in October or November. This wave will not be as significant as the first but could result in site, district, regional, or countywide school closures for up to four weeks.",1,Health & Safety / Operations,General,,,,0
Kern COE,Assumptions,A vaccine is not likely to be in broad use during the next 18 months.,1,Health & Safety / Operations,General,,,,0
San Diego COE,Actions,Establish a single point of contact for the LEA who will handle all communications with Public Health Services.,11-C,Health & Safety / Operations,General,,Communication,,0
CCSESA,Actions,"Inspect all buildings, facilities, equipment, materials, etc. and determine status and needs for resuming and maintaining operations. Maintain records on what needs to be done prior to occupancy and the ongoing maintenance that is done after reopening.",3e,Health & Safety / Operations,General,,,,0
Marin COE,Assumptions,Periodic school closures may occur due to outbreak of infection and/or additional shelter in place orders;,2e,Health & Safety / Operations,General,,,,0
CCSESA,Assumptions,The COVID-19 virus will be a public health threat until a vaccine is developed and widely used. Development of a vaccine will take time; estimates are at least 18 months and perhaps longer. ,2,Health & Safety / Operations,General,,,,0
Kern COE,Assumptions,"When schools are permitted to re-open, it is likely that operations will need to be modified to include: Schedules of school days to align with feeder districts when applicable Social distancing in all settings (including home-to-school transportation) Proactive screening of students and staff for symptoms",3,Health & Safety / Operations,General,,,,0
Kern COE,Assumptions,"When schools can resume operations, deaths within the school community from COVID-19 will still be possible, especially for children and adults in high-risk categories.",5,Health & Safety / Operations,General,,,,0
Kern COE,Assumptions,"When the stay-at-home order is lifted, limits on group size are likely to still be necessary. Loosening of restrictions is likely to be stepped down in phases.",4,Health & Safety / Operations,General,,,,0
Kern COE,Assumptions,"While the stay-at-home order and/or restrictions on group size are in place, normal community support mechanisms will not be available to assist with grieving.",5,Health & Safety / Operations,General,,,,0
Marin COE,Assumptions,"While the stay-at-home order and/or restrictions on group size are in place, normal community support mechanisms will not be available to assist with grieving.",4b,Health & Safety / Operations,General,,,,0
San Diego COE,Actions,"Monitor websites for CA Public Health, CDE, CDC",11-A,Health & Safety / Operations,General,,,,0
CDC-C4S,Actions,"Communal Spaces: Close communal use shared spaces such as dining halls and playgrounds with shared playground equipment if possible; otherwise, stagger use and clean and disinfect between use.",CS1,Health & Safety / Operations,Group Gathering / Spaces Protocols,,,,0
Marin COE,Assumptions,"Avoiding large gatherings and maintaining social distancing keeping in mind:
Hallways
Lunch/recess
Sporting events
Assemblies
",2b,Health & Safety / Operations,Group Gathering / Spaces Protocols,,,,0
Monterey COE,Actions,"Consider alternatives to congregate or group programming within the school including any large or communal activities such as assemblies. Alternate approaches, which limit close contact may include conducting assemblies via webcasts or intercom announcements.",Phase II,Health & Safety / Operations,Group Gathering / Spaces Protocols,,,,0
Marin COE,Assumptions,"Playground use, recesses, lunch breaks, etc. may need to be changed.",GC5d,Health & Safety / Operations,Group Gathering / Spaces Protocols,,,,0
CDC-C4S,Actions,"Provide physical guides, such as tape on floors or sidewalks and signs on walls, to ensure that staff and children remain at least 6 feet apart in lines and at other times (e.g. guides for creating “one way routes” in hallways).",PBag2,Health & Safety / Operations,Group Gathering / Spaces Protocols,,,,0
WHO,Questions,"Will there be enough supervision for students of different ages to ensure adherence to recommended measures, including during recreational times and breaks between classes?",Questions,Health & Safety / Operations,Group Gathering / Spaces Protocols,,,,0
CCSESA,Actions,School nurses and other healthcare providers should use CDC’s Standard- and Transmission-Based Precautions when caring for sick people.,3d,Health & Safety / Operations,Health Office Protocol,,,,0
CCSESA,Actions,"In any locations where students need to line up, place markers on the pavement to show where students stand to maintain a distance of six feet in a single line and where lines form so that lines are at least six feet part.",3i,Health & Safety / Operations,Large Gathering Protocols,,,,0
CCSESA,Actions,Discontinue use of shared food and beverage equipment in employee breakrooms.,3f,Health & Safety / Operations,Large Gathering Protocols,,,,0
San Diego COE,Actions,Consider Rearranging office layouts to create distance between employees,1-H,Health & Safety / Operations,Office Layout & Protocols,,,,0
San Diego COE,Actions,Identify work settings and activities which require employees to interact with others who are within 6 feet.,1-H,Health & Safety / Operations,Office Layout & Protocols,,,,0
CDC-C4S,Actions,"Pursue options to convene sporting events and participation in sports activities in ways that minimizes the risk of transmission of COVID-19 to players, families, coaches, and communities.",GVaFT4,Health & Safety / Operations,PE / Athletics / Clubs,,,,0
CCSESA,Actions,"Postponing high-contact activities/classes (e.g. PE, field trips, choir, high-contact after school activities such as football) and restructuring athletic, performing arts and club activities to keep students engaged while physically distant",3i,Health & Safety / Operations,PE / Atheltics / Clubs,,,,0
San Diego COE,Actions,Create plans to immediately release from work employees who are sick and cover essential positions. Include how the site would cover several employees at the same time.,1-C,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,"Exclude students and staff members who have a travel history over the course of the last 14 days to an area identified by the CDC as Level 3 Travel Health Notice should be excluded from work or school for 14 days, beginning the day they departed that country",1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,"Healthy members of a household who did not travel but live in a household with someone who returned from a CDC Level 3 country are not required to stay away from work or school if all members of that household remain healthy (i.e., no new respiratory symptoms and no fever) during the 14-day period described above.",1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,"If any student or staff member at school is suspected to have the virus (i.e., becomes a Public Health Services “patient under investigation”; or “PUI”) for COVID-19, the school district will work with public health authorities who will collaborate with that student’s or staff member’s physician to guide further restrictions and public notifications.",1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,"If possible, keep Students and staff members who present at school with fever and/or symptoms of a respiratory infection isolated (students must still be visible and supervised by a staff member); otherwise try to keep a 3 to 6-foot distance between that student (or staff member) and others.",1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,"Persons excluded from school or work for fever may return to school when they have been free of fever for at least 24 hours (without the use of fever reducing medications) and all respiratory symptoms are fully resolved, or seven days have passed since the onset of symptoms and the individual’s symptoms have been improving.",1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,"Persons excluded from school or work for respiratory symptoms and who have not developed a fever may return to school when all respiratory symptoms are fully resolved, or seven days have passed since the onset of symptoms and the individual’s symptoms have been improving.",1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,"Review and revise current procedures for managing sick students until they go home. For students with respiratory symptoms (productive cough) or fever greater than 100 F: A location that limits other’s access to the sick student but ensures that they are adequately supervised, Place a surgical mask on the student (if it is tolerated), Keep the student at least 3 to 6 feet (more if possible) from others, Report the case to the district office (designee)",1-C,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,Students and staff members who have visited one of these countries within the past two weeks should be advised to call their doctors for instructions if they have fever with either cough or shortness of breath.,1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,Students and staff members who present at school with fever and/or symptoms of a respiratory infection should be sent home as soon as possible.,1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,Students and staff members who present at school with fever and/or symptoms of a respiratory infection should where a surgical mask (if available and if tolerated) until they leave work or school.,1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,Students or staff members who are excluded from school or work should also be advised stay at home and limit contact with anyone outside the home.,1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,A student or staff member who has been in close contact with a person with a laboratory-confirmed case of COVID-19 over past two weeks will be excluded from school until cleared by the local public health department.,1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
Kern COE,Actions,Advise sick staff members not to return until they have met CDC criteria to discontinue home isolation.,9,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CDC-C4S,Actions,Advise Staff and Families of Sick Students of Home Isolation Criteria,ASaF,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
Marin COE,Assumptions,Advocate for state transition funding to support COVID-19 implementation proposals.,GC13b,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,All children and staff members with respiratory symptoms or fever (>100 F/>37.8 C) should remain home.,1-A,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CDC-C4S,Actions,"Consistent with applicable law and privacy policies, having staff and families self-report to the school if they or their student have symptoms of COVID-19, a positive test for COVID-19, or were exposed to someone with COVID-19 within the last 14 days in accordance with health information sharing regulations for COVID-19 (e.g. see “Notify Health Officials and Close Contacts” in the Preparing for When Someone Gets Sick section below) and other applicable federal and state laws and regulations relating to privacy and confidentiality, such as the Family Educational Rights and Privacy Act (FERPA).",ComSys1,Health & Safety / Operations,Potential COVID-19 Case Protocols,,Communication,,0
CDC-C4S,Actions,Develop policies for return-to-school after COVID-19 illness. CDC’s criteria to discontinue home isolation and quarantine can inform these policies.,Time Off4,Health & Safety / Operations,Potential COVID-19 Case Protocols,,HR / Bargaining Units,,0
Monterey COE,Actions,Ensure sick leave policies allow teachers and staff to stay home if they have symptoms of respiratory infection.,Phase II,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
Kern COE,Actions,"Establish procedures for safely transporting anyone sick home or to a healthcare facility, as appropriate.",9,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CCSESA,Actions,"If students or staff become ill at school, have the individual use the isolation area until transportation can be arranged. Have a supply of masks available and require the ill person to use the mask while present.",3f,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CDC-C4S,Actions,"Immediately separate staff and children with COVID-19 symptoms (such as fever, cough, or shortness of breath) at school. Individuals who are sick should go home or to a healthcare facility depending on how severe their symptoms are, and follow CDC guidance for caring for oneself and others who are sick.",IaTT2,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CDC-C4S,Actions,Isolate and Transport Those Who are Sick,IaTT,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CDC-C4S,Actions,"Make sure that staff and families know that they (staff) or their children (families) should not come to school, and that they should notify school officials (e.g., the designated COVID-19 point of contact) if they (staff) or their child (families) become sick with COVID-19 symptoms, test positive for COVID-19, or have been exposed to someone with COVID-19 symptoms or a confirmed or suspected case.",IaTT1,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CCSESA,Actions,"Notify local health officials, staff, and families immediately of a possible case while maintaining confidentiality as required by applicable state and federal statutes (e.g. Family and Medical Leave Act (FMLA), the Americans with Disabilities Act (ADA).",3d,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CDC-C4S,Actions,"Notifying staff, families, and the public of school closures and any restrictions in place to limit COVID-19 exposure (e.g., limited hours of operation).",ComSys3,Health & Safety / Operations,Potential COVID-19 Case Protocols,,Communication,,0
CCSESA,Actions,Prepare an isolation area within the school or district building for use in the event a student or staff member becomes ill while at the school/district.,3e,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CCSESA,Actions,Requiring anyone (student and staff) with COVID-19 symptoms to stay home and to remain at home until fever has been gone for at least 24 hours without the use of fever-reducing medicines.,3c,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CDC-C4S,Actions,Schools may consider implementing several strategies to prepare for when someone gets sick.,PfWSGS,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
CDC-C4S,Actions,Sick staff members or students should not return until they have met CDC’s criteria to discontinue home isolation.,ASaF1,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
Kern COE,Assumptions,School staff will become more concerned about COVID-19 symptoms and encourage students and staff with symptoms to stay home.,9,Health & Safety / Operations,Potential COVID-19 Case Protocols,,,,0
San Diego COE,Actions,Inventory and order PPE.,1-G,Health & Safety / Operations,PPE,,,,0
Kern COE,Questions,"Do we have the supplies we need to maintain heightened prevention measures (hand sanitizer, cleaning, disinfection products, and personal protective equipment)?",1,Health & Safety / Operations,PPE & Other Equipment,,,,0
CCSESA,Actions,"Consider installing sneeze guards in high traffic areas, especially offices the cafeteria and the nurse’s office.",3e,Health & Safety / Operations,PPE & Other Equipment,,,,0
CCSESA,Actions,"Consider posting the CDC posters (hand washing, cover while sneezing/coughing) in classrooms and common areas.",3e,Health & Safety / Operations,PPE & Other Equipment,,,,0
Kern COE,Actions,Consider the installation of physical barriers in reception areas and workspaces where the environment cannot accommodate social distancing.,11,Health & Safety / Operations,PPE & Other Equipment,,,,0
CCSESA,Actions,"Consistent with public health guidelines, develop job-specific guidance/requirements for glove use, protective eyewear, and gowns, such as requiring maintenance staff to wear gloves when cleaning or repairing restrooms, and requiring glove use, protective eyewear and gowns when assisting those who become ill while at school.",3g,Health & Safety / Operations,PPE & Other Equipment,,,,0
San Diego COE,Actions,Create contingency plans business closures that could result in shortages of supplies.,111-F,Health & Safety / Operations,PPE & Other Equipment,,,,0
Kern COE,Actions,"Determine what supplies will be required (face covering, thermometers, personal protective equipment, etc.).",9,Health & Safety / Operations,PPE & Other Equipment,,,,0
